WP Masakadza;bowler;left;spin;Zimbabwe;0;84;11;0;15;35;10;420;48;16;126;2;
M Shumba;batter;left;spin;Zimbabwe;8;26;7;4;14;0;0;24;6;0;11;0;
T Kaitano;batter;right;spin;Zimbabwe;24;12;0;143;14;0;0;0;0;0;0;0;
I Kaia;batter;right;spin;Zimbabwe;36;143;4;373;140;0;0;15;0;0;13;0;
TL Chivanga;bowler;right;pace;Zimbabwe;0;4;5;0;0;7;25;102;5;36;59;4;
TK Musakanda;batter;right;pace;Zimbabwe;0;0;0;5;0;0;0;0;0;0;0;0;
VM Nyauchi;bowler;right;pace;Zimbabwe;0;7;2;0;29;15;124;95;59;129;12;9;
T Munyonga;allrounder;right;spin;Zimbabwe;2;58;4;19;42;12;0;2;0;0;4;0;
B Evans;allrounder;right;pace;Zimbabwe;0;72;6;0;32;44;83;248;69;60;72;10;
C Madande;batter;right;;Zimbabwe;2;78;24;9;77;47;0;0;0;0;0;0;
GS Ballance;batter;left;spin;Zimbabwe;0;89;5;9;82;12;0;0;0;0;0;0;
B Mavuta;allrounder;right;spin;Zimbabwe;0;0;0;0;0;0;0;14;0;0;16;0;
J Gumbie;batter;right;;Zimbabwe;20;75;0;142;48;0;0;0;0;0;0;0;
CH Gayle;allrounder;left;spin;West Indies;28;22;0;251;78;0;0;59;0;0;36;0;
E Lewis;batter;left;;West Indies;96;372;3;360;179;12;0;0;0;0;0;0;
SD Hope;batter;right;;West Indies;169;1270;99;1065;819;131;0;0;0;0;0;0;
SO Hetmyer;batter;left;;West Indies;23;269;0;75;229;0;0;0;0;0;0;0;
N Pooran;batter;left;spin;West Indies;11;987;131;101;636;177;0;91;15;14;57;1;
RL Chase;allrounder;right;spin;West Indies;6;362;23;2;159;42;19;726;103;24;320;20;
JO Holder;allrounder;right;pace;West Indies;0;332;71;5;244;159;496;624;242;322;233;86;
FA Allen;allrounder;right;spin;West Indies;0;43;0;0;61;41;0;335;50;0;79;4;
CR Brathwaite;allrounder;right;pace;West Indies;0;23;14;0;59;68;8;169;88;4;60;31;
KAJ Roach;bowler;right;pace;West Indies;0;30;0;0;29;15;165;126;31;80;15;0;
SS Cottrell;bowler;right;pace;West Indies;0;11;20;0;17;51;370;247;188;127;140;111;
O Thomas;bowler;left;pace;West Indies;0;9;1;0;3;39;85;184;70;46;57;13;
KMA Paul;allrounder;right;pace;West Indies;0;73;22;0;34;53;133;275;120;64;153;44;
DM Bravo;batter;left;pace;West Indies;21;149;29;87;97;39;0;0;0;0;0;0;
AD Russell;allrounder;right;pace;West Indies;0;21;0;0;9;0;23;55;0;27;16;0;
AR Nurse;bowler;right;spin;West Indies;0;6;0;0;2;18;0;47;23;0;7;9;
ST Gabriel;bowler;right;pace;West Indies;0;0;0;0;0;10;15;57;3;13;46;0;
SW Ambris;batter;right;;West Indies;6;17;0;132;44;0;0;0;0;0;0;0;
KA Pollard;allrounder;right;pace;West Indies;0;152;29;20;142;69;0;141;14;0;76;8;
R Shepherd;allrounder;right;pace;West Indies;0;121;24;0;73;95;125;353;149;134;168;51;
HR Walsh;bowler;left;spin;West Indies;0;42;10;0;96;36;0;501;153;6;284;59;
AS Joseph;bowler;right;pace;West Indies;0;168;72;6;114;75;327;970;342;398;429;144;
BA King;batter;right;;West Indies;67;388;31;382;301;37;0;0;0;0;0;0;
K Pierre;allrounder;left;spin;West Indies;0;27;2;0;18;0;18;103;18;0;12;8;
JN Mohammed;batter;right;spin;West Indies;7;70;7;42;14;9;6;93;34;12;148;3;
AJ Hosein;bowler;left;spin;West Indies;0;121;33;0;124;97;109;1086;155;106;642;34;
A Phillip;bowler;right;pace;West Indies;0;2;0;0;1;22;12;66;36;62;19;6;
J Da Silva;batter;right;;West Indies;2;5;0;25;3;0;0;0;0;0;0;0;
AM McCarthy;batter;right;spin;West Indies;0;11;0;27;3;0;0;6;0;0;6;0;
KR Mayers;allrounder;left;pace;West Indies;70;240;0;338;153;1;170;250;34;150;98;7;
NE Bonner;batter;right;spin;West Indies;0;60;0;36;26;18;0;54;0;0;13;0;
R Powell;batter;right;pace;West Indies;0;167;15;0;129;49;0;17;0;0;18;0;
RA Reifer;allrounder;left;pace;West Indies;0;45;3;0;31;12;13;24;21;0;48;3;
CK Holder;bowler;right;pace;West Indies;0;0;0;0;3;0;4;0;0;16;0;0;
KY Ottley;batter;left;spin;West Indies;4;4;0;36;9;0;0;0;0;0;0;0;
JN Hamilton;batter;right;;West Indies;0;4;0;0;12;0;0;0;0;0;0;0;
KJ Harding;bowler;right;pace;West Indies;0;0;0;0;0;1;0;10;19;32;5;3;
JP Greaves;allrounder;right;pace;West Indies;0;1;0;75;15;0;0;0;0;0;0;0;
SSJ Brooks;batter;right;spin;West Indies;40;486;7;224;364;29;0;0;0;0;0;0;
OF Smith;allrounder;right;pace;West Indies;0;13;15;0;14;86;26;161;24;18;76;9;
JNT Seales;bowler;left;pace;West Indies;0;15;0;0;3;23;104;122;71;110;27;19;
G Motie;bowler;left;spin;West Indies;0;30;3;0;25;6;3;244;3;16;116;2;
KU Carty;batter;right;pace;West Indies;12;334;14;57;123;32;0;15;0;0;12;0;
J Blackwood;batter;right;spin;West Indies;0;0;0;0;18;0;0;0;0;0;0;0;
K Sinclair;bowler;right;spin;West Indies;0;30;5;0;6;24;8;199;33;10;113;25;
Y Cariah;bowler;left;spin;West Indies;0;89;5;3;43;17;0;297;15;0;132;15;
SH Lewis;bowler;right;pace;West Indies;0;0;0;0;0;0;8;20;18;16;0;0;
J Charles;batter;right;;West Indies;36;58;0;136;49;3;0;0;0;0;0;0;
A Athanaze;allrounder;left;spin;West Indies;7;23;0;73;25;0;0;0;0;0;7;0;
DC Drakes;allrounder;left;pace;West Indies;0;5;0;0;0;13;56;31;8;16;9;5;
KAR Hodge;allrounder;right;spin;West Indies;0;18;0;0;11;1;24;42;18;0;0;13;
Akeem Jordan;bowler;right;pace;West Indies;0;0;0;0;0;6;50;0;15;0;0;5;
PR Stirling;allrounder;right;spin;Ireland;104;496;20;734;434;42;1;38;0;0;11;0;
GJ Delany;allrounder;right;spin;Ireland;3;32;32;88;28;71;0;231;31;0;121;11;
A Balbirnie;batter;right;spin;Ireland;41;552;25;338;504;25;0;0;0;0;0;0;
WTS Porterfield;batter;left;spin;Ireland;15;174;0;175;127;0;0;0;0;0;0;0;
KJ O'Brien;allrounder;right;pace;Ireland;7;64;1;37;35;16;0;42;0;0;31;0;
L Tucker;batter;right;;Ireland;2;363;69;32;236;84;0;0;0;0;0;0;
Simi Singh;allrounder;right;spin;Ireland;0;189;74;0;109;130;43;462;80;5;335;30;
MR Adair;allrounder;right;pace;Ireland;0;49;26;0;45;95;485;262;234;230;146;74;
AR McBrine;allrounder;left;spin;Ireland;22;195;45;303;175;106;79;905;107;60;640;51;
BJ McCarthy;bowler;right;pace;Ireland;0;15;23;0;4;58;269;127;103;101;102;38;
WB Rankin;bowler;left;pace;Ireland;0;4;9;0;0;29;5;49;0;2;43;7;
JA McCollum;batter;right;pace;Ireland;7;0;0;33;0;0;0;0;0;0;0;0;
CA Young;bowler;right;pace;Ireland;0;0;17;0;0;70;407;348;175;104;162;49;
HT Tector;batter;right;spin;Ireland;23;740;73;212;619;178;0;82;0;0;104;0;
C Campher;allrounder;right;pace;Ireland;4;456;29;23;336;96;30;557;77;14;249;33;
J Little;bowler;right;pace;Ireland;0;14;4;0;0;29;306;507;207;77;208;86;
GH Dockrell;allrounder;right;spin;Ireland;5;240;85;36;239;156;0;343;52;0;71;22;
SC Getkate;allrounder;right;pace;Ireland;0;0;0;0;0;0;0;7;0;0;17;6;
NA Rock;batter;left;;Ireland;0;8;0;0;8;9;0;0;0;0;0;0;
GI Hume;bowler;left;pace;Ireland;0;2;2;0;22;21;127;91;48;61;76;44;
ST Doheny;batter;right;;Ireland;17;45;0;141;63;0;0;0;0;0;0;0;
MJ Humphreys;bowler;right;spin;Ireland;0;0;0;0;7;0;5;34;0;8;20;0;
M Commins;batter;left;;Ireland;0;8;0;0;5;0;0;0;0;0;0;0;
B White;bowler;right;spin;Ireland;0;0;0;0;0;0;0;75;1;0;29;5;
SR Taylor;batter;left;spin;USA;6;0;0;77;0;0;2;118;6;10;56;0;
SJ Modani;batter;right;spin;USA;7;61;0;110;58;0;0;0;0;0;0;0;
MD Patel;batter;right;;USA;0;41;0;28;23;0;0;0;0;0;0;0;
Aaron Jones;batter;right;spin;USA;11;61;0;56;60;4;0;12;0;0;0;0;
SR Mukkamalla;batter;right;spin;USA;0;14;0;42;26;0;0;0;0;0;0;0;
G Singh;batter;left;spin;USA;0;109;15;31;106;23;0;9;0;0;9;6;
Shayan Jahangir;batter;right;pace;USA;0;96;11;0;81;50;0;0;0;0;0;0;
Jasdeep Singh;bowler;right;pace;USA;0;66;9;0;37;24;20;180;51;0;29;19;
NP Kenjige;bowler;right;spin;USA;0;11;28;4;28;32;30;255;9;0;39;3;
K Phillip;bowler;right;pace;USA;0;0;0;0;0;2;52;25;16;12;5;1;
SN Netravalkar;bowler;right;pace;USA;0;0;5;0;4;26;122;69;55;22;9;0;
NK Patel;allrounder;right;spin;USA;0;43;0;0;18;10;0;167;14;0;12;0;
Ali Khan;bowler;right;pace;USA;0;0;0;0;1;8;68;14;19;9;1;1;
AA Paradkar;bowler;left;pace;USA;0;12;0;0;26;0;24;25;7;0;5;11;
Usman Rafiq;bowler;right;spin;USA;0;16;0;0;16;10;0;16;0;0;10;6;
K Bhurtel;batter;right;spin;Nepal;0;54;0;155;72;0;0;4;0;0;2;0;
Aasif Sheikh;batter;right;;Nepal;0;58;0;77;25;0;0;0;0;0;0;0;
Kushal Malla;allrounder;left;spin;Nepal;0;90;6;0;17;11;0;34;7;0;8;0;
RK Paudel;allrounder;right;spin;Nepal;0;86;6;18;94;4;0;0;0;0;12;1;
Aarif Sheikh;batter;right;pace;Nepal;0;33;0;0;64;23;6;59;0;0;43;0;
Gulsan Jha;bowler;left;pace;Nepal;0;49;9;0;60;57;36;154;33;0;64;6;
DS Airee;batter;right;pace;Nepal;0;63;5;0;76;28;10;60;33;26;68;16;
B Sharki;batter;right;spin;Nepal;0;77;1;51;96;4;0;0;0;0;0;0;
Karan KC;allrounder;right;pace;Nepal;0;0;0;0;0;36;110;63;49;25;37;2;
Sompal Kami;allrounder;right;pace;Nepal;0;0;0;0;0;2;14;0;0;12;9;0;
S Lamichhane;bowler;right;spin;Nepal;0;18;9;0;30;48;5;217;30;13;79;18;
LN Rajbanshi;bowler;right;spin;Nepal;0;0;0;0;0;2;44;59;18;16;7;0;
A Saud;batter;right;;Nepal;0;19;0;41;32;0;0;0;0;0;0;0;
G Malla;batter;right;;Nepal;0;0;0;29;7;0;0;0;0;0;0;0;
Pratis GC;allrounder;right;pace;Nepal;0;0;0;0;0;0;25;11;14;0;7;4;
K Mahato;bowler;right;pace;Nepal;0;0;0;0;0;1;19;27;14;7;0;0;
MJ Guptill;batter;right;spin;New Zealand;38;242;0;575;216;1;0;0;0;0;0;0;
C Munro;batter;left;pace;New Zealand;26;2;0;90;14;0;0;5;0;0;2;0;
KS Williamson;batter;right;spin;New Zealand;43;484;16;262;532;51;0;24;0;0;55;12;
LRPL Taylor;batter;right;spin;New Zealand;0;291;27;75;272;64;0;0;0;0;0;0;
TWM Latham;batter;left;pace;New Zealand;2;674;73;75;595;152;0;0;0;0;0;0;
JDS Neesham;allrounder;left;pace;New Zealand;0;169;48;0;162;121;3;484;118;21;263;62;
C de Grandhomme;allrounder;right;pace;New Zealand;0;71;20;0;105;111;21;337;8;17;181;5;
MJ Santner;allrounder;left;spin;New Zealand;0;123;62;0;122;179;34;972;213;14;324;66;
MJ Henry;bowler;right;pace;New Zealand;0;8;11;0;11;38;372;384;162;451;177;43;
LH Ferguson;bowler;right;pace;New Zealand;0;21;3;0;7;53;181;580;215;73;309;93;
TA Boult;bowler;right;pace;New Zealand;0;12;11;0;0;32;333;264;122;259;142;85;
HM Nicholls;batter;left;spin;New Zealand;12;254;1;417;233;40;0;0;0;0;0;0;
IS Sodhi;bowler;right;spin;New Zealand;0;33;37;0;32;60;0;422;117;0;232;10;
